Référence,Version,Prédéterminé,Type,EAN13,Famille,Catalogue,"Tarif national",Garantie,"Étiquette V/F","Fiche technique",Description,masterfile.tender_text,masterfile.codi_duaner,Matériel,Fini,grand,Largeur,Hauteur,Projection,"Source de lumière","Inclure une ampoule","Efficacité énergétique","Unités masterbox","Produit déclassé","Lancement de produit","Poids emballé (kg)","Weight master box","Poids net (kg)","Unité de volume (m3)","Volume Master box (m3)","Length Box 1","Largeur de la boîte 1","Boîte de hauteur 1","Length Box 2","Largeur de la boîte 2","Boîte de hauteur 2","Length Box 3","Largeur de la boîte 3","Boîte de hauteur 3","Length MB 1","Largeur MB 1","Hauteur MB 1","Length MB 2","Largeur MB 2","Hauteur MB 2","Length MB 3","Largeur MB 3","Hauteur MB 3","Watts (W)","Lumens (lm)","Real Lumens (lm)","Température de couleur LED (K)",CRI,"Faisceau de lumière (°)","Réglementation de type",IP,IK,"Image Web","Image d'environnement 1","Image d'environnement 2","Image d'environnement 3","Image de détail 1","Image de détail 2",IMC,EE,Photométrie,masterfile.ploma_comercial,Accessoires,3D,masterfile.ies,masterfile.ldt,"Codi Kenya","Código RETILAP","Maroc Code","Pays Code 4","Pays Code 5","Pays Code 6",Modèle
PX-0103-ANT,V0,Oui,Balise,8435575399136,"Kala 800mm",Forlight,"117,25",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/PX-0103-ANT.html,"BALISE IP44 KALA 800MM GU10 8W GRIS URBAIN","LedsC4 Kala 800mm PX-0103-ANT  Balise pour éclairer vers le bas.  Matière de la structure: Aluminium. Finition structure: Gris urbain. Matière du diffuseur: Verre. Finition diffuseur: Semi-transparent. Garantie: 5 Ans.  Poids net du produit (kg): 2.03 Longueur du produit (mm): 175 Largeur ou diamètre du produit (mm): 110 Hauteur du produit (mm): 800  Classe 1. IP: IP44. Puissance totale: 8.",9405299090,"Aluminium, Verre","Gris urbain, Semi-transparent",175,110,800,,,Non,"NA EPREL",4,"Discontinuo FR",2021,"2,33","9,32","2,03","0,021","0,084",180,125,815,,,,,,,,,,,,,,,,8,,,,,,,IP44,,https://files.ledsc4.com/main-photo/PX-0103-ANT,,,,https://files.ledsc4.com/detail-photo/1/PX-0103-ANT,https://files.ledsc4.com/detail-photo/2/PX-0103-ANT,https://files.ledsc4.com/imc/PX-0103-ANT.html,,,,,,,,,RETILAP-BALIZA,FX-INC-I,,,,
05-E054-34-37,V0,Non,"Applique murale",8445386109954,"Afrodita GU10 Single Emission",Outdoor,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/05-E054-34-37.html,"APPLIQUE MURALE IP55 AFRODITA GU10 SINGLE EMISSION GU10 8W GRIS","LedsC4 Afrodita GU10 Single Emission 05-E054-34-37  Applique murale à usage extérieur pour éclairer vers le haut et vers le bas  Matière de la structure: Aluminium. Finition structure: Gris. Matière du diffuseur: Verre. Finition diffuseur: Transparent. Protection contre les rayons ultraviolets. Garantie: 2 Ans.  Poids net du produit (kg): 0.6 Largeur ou diamètre du produit (mm): 80 Hauteur du produit (mm): 115 Sortie du produit (mm): 90  Classe 1. IP: IP55. IK: IK04. Appareillage fourni: No. Puissance totale: 8.",9405199090,"Aluminium, Verre","Gris, Transparent",,80,115,90,,Non,"NA EPREL",12,"Descatalogado FR",2022,"0,78","9,36","0,6","0,001","0,012",100,90,130,,,,,,,,,,,,,,,,8,,,,,,,IP55,IK04,https://files.ledsc4.com/main-photo/05-E054-34-37,,,,,,https://files.ledsc4.com/imc/05-E054-34-37.html,,https://files.ledsc4.com/fm/05-E054-34-37.html,,,https://files.ledsc4.com/3d/05-E054-34-37.html,https://files.ledsc4.com/ies/05-E054-34-37.html,https://files.ledsc4.com/ldt/05-E054-34-37.html,,,FX-INC-I,,,,"Afrodita GU10 Wall Fixture Single Emission"
PX-0133-NEG,V0,Oui,"Applique murale",8435575398061,Indoo,Forlight,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/PX-0133-NEG.html,"APPLIQUE MURALE IP44 INDOO E27 15W NOIR","LedsC4 Indoo PX-0133-NEG  Applique murale pour éclairer frontalement.  Matière de la structure: Polycarbonate. Finition structure: Noir. Matière du diffuseur: Polycarbonate. Finition diffuseur: Blanc opale. Protection contre les rayons ultraviolets. Garantie: 2 Ans.  Poids net du produit (kg): 0.67 Longueur du produit (mm): 110 Hauteur du produit (mm): 295 Sortie du produit (mm): 135  Classe 2. IP: IP44. IK: IK10. Puissance totale: 15.",9405194090,"Polycarbonate, Polycarbonate","Noir, Blanc opale",110,,295,135,,Non,"NA EPREL",12,"Descatalogado FR",2021,"0,87","10,44","0,67","0,006","0,072",145,120,305,,,,,,,,,,,,,,,,15,,,,,,,IP44,IK10,https://files.ledsc4.com/main-photo/PX-0133-NEG,https://files.ledsc4.com/ambience-photo/1/PX-0133-NEG,,,,,https://files.ledsc4.com/imc/PX-0133-NEG.html,,,,,,,,,RETILAP-APLIQUE,FX-INC-II,,,,
AG21-12U9M2TW60,V0,Oui,"Encastrables au plafond",8445386078991,"Play Flat Square Adjustable",Architectural,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/fr/AG21-12U9M2TW60.html,"ENCASTRABLES AU PLAFOND PLAY FLAT SQUARE ADJUSTABLE LED 14.5W TW 2700K-6500K CRI","LedsC4 Play Flat Square Adjustable AG21-12U9M2TW60  Encastrables au plafond pour éclairer vers le bas.  Source lumineuse orientable. Matière de la structure: Aluminium. Finition structure: Noir. Matière du diffuseur: PMMA. Finition diffuseur: Transparent. Garantie: 2 Ans.  Poids net du produit (kg): 0.36 Longueur du produit (mm): 78 Largeur ou diamètre du produit (mm): 78 Hauteur du produit (mm): 71 Ø de l&#039;orifice pour l&#039;encastrement (mm): 68 Épaisseur de plafond admise: 0-20  Classe 2. Luminaire non adapté pour être recouvert de matériaux isolants. IP: IN IP20 / OUT IP54. LED. Nombre de douilles ou LED: 1. Marque de la LED: BRIDGELUX. Puissance maximale de la source lumineuse: 12.5W. Température de couleur: TW 2700K-6500K. Indice de rendu des couleurs: 92. Steps Mac Adam: 3. Durée de vie en heures: 50.000h L80B20. Facteur UGR: 19.6. Risque photobiologique: RG1. Flux réel (lm): 1076. Lm/W réels: 74. Plage de tension/fréquence: 220-240V/50-60Hz. Tension: 36. Appareillage fourni: Oui. Puissance totale: 14.5. Facteur de puissance: 0.90. Appareillage réglable fourni: DALI DT8.",9405119090,"Aluminium, PMMA","Noir, Transparent",78,78,71,,,Oui,F,16,"Descatalogado FR",2021,"0,43","6,88","0,36","0,004","0,064",170,120,120,,,,,,,,,,,,,,,,"14,5",,1076,"TW 2700K-6500K",92,MEDIUM,"DALI DT8","IN IP20 / OUT IP54",,https://files.ledsc4.com/main-photo/AG21-12U9M2TW60,,,,,,https://files.ledsc4.com/imc/AG21-12U9M2TW60.html,https://files.ledsc4.com/el/AG21-12U9M2TW60.html,https://files.ledsc4.com/fm/AG21-12U9M2TW60.html,,https://files.ledsc4.com/ft3/fr/AG21-12U9M2TW60.html,https://files.ledsc4.com/3d/AG21-12U9M2TW60.html,https://files.ledsc4.com/ies/AG21-12U9M2TW60.html,https://files.ledsc4.com/ldt/AG21-12U9M2TW60.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,"Play Flat Square Adjustable"
05-4931-14-14,V0,Non,"Applique murale",8435381463823,"Skate 221mm",Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/05-4931-14-14.html,"APPLIQUE MURALE SKATE 221MM LED 9.9W 3000K ON-OFF BLANC 442LM","LedsC4 Skate 221mm 05-4931-14-14  Applique murale à usage intérieur pour éclairer vers le haut et vers le bas  Matière de la structure: Aluminium. Finition structure: Blanc. Garantie: 3 Ans.  Poids net du produit (kg): 0.685 Largeur ou diamètre du produit (mm): 221 Hauteur du produit (mm): 95 Sortie du produit (mm): 66  Classe 1. Essai au fil incandescent: 850. IP: IP20. LED. Nombre de douilles ou LED: 1. Marque de la LED: SHARP. Marque du Driver: HEP. Puissance maximale de la source lumineuse: 7.5W. Température de couleur: 3000K. Indice de rendu des couleurs: 80. Steps Mac Adam: 2. Durée de vie en heures: 50.000h L80B20. Facteur UGR:  1.6. Risque photobiologique: RG1. Flux réel (lm): 442. Flux nominal (lm): 700. Lm/W réels: 45. Plage de tension/fréquence: 90-264/50-60Hz. Tension: 15. Appareillage fourni: Oui. Appareillage multitension fourni. Puissance totale: 9.9. Facteur de puissance: 0.90. Appareillage réglable fourni: ON-OFF.",9405119090,Aluminium,Blanc,,221,95,66,"1xLED 7.5 700.00 lm",Oui,E,20,"Descatalogado FR",2018,"1,198","23,96","0,685",,,180,100,95,265,140,105,,,,520,380,210,550,550,430,,,,"9,9","700,00",442,3000K,80,,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/05-4931-14-14,,,,,,https://files.ledsc4.com/imc/05-4931-14-14.html,https://files.ledsc4.com/el/05-4931-14-14.html,,,,https://files.ledsc4.com/3d/05-4931-14-14.html,,,,,FX-LED-I,,,,"Skate 221mm"
15-9778-34-CL,V0,Non,"Applique de plafond",8435381443467,"Kössel Direct Square 220mm",Outdoor,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/15-9778-34-CL.html,"APPLIQUE DE PLAFOND IP66 KOSSEL DIRECT SQUARE 220MM LED 6.9W 3000K ON-OFF GRIS 4","LedsC4 Kössel Direct Square 220mm 15-9778-34-CL  Applique de plafond à usage extérieur pour éclairer vers le bas.  Matière de la structure: Polycarbonate + ABS. Finition structure: Gris. Matière du diffuseur: Polycarbonate. Finition diffuseur: Semi-transparent. Protection contre les rayons ultraviolets. Garantie: 3 Ans. Ta max: 50ºC.  Poids net du produit (kg): 0.63 Largeur ou diamètre du produit (mm): 220 Hauteur du produit (mm): 220 Sortie du produit (mm): 55  Classe 2. IP: IP66. IK: IK10. LED. Nombre de douilles ou LED: 1. Puissance maximale de la source lumineuse: 6.5W. Température de couleur: 3000K. Indice de rendu des couleurs: 80. Steps Mac Adam: 5. Durée de vie en heures: 50.000h L80B20. Facteur UGR:  15.7. Risque photobiologique: RG0. Flux réel (lm): 419. Flux nominal (lm): 644. Lm/W réels: 61. Plage de tension/fréquence: 100-240/50-60Hz. Tension: 3. Appareillage fourni: Oui. Appareillage multitension fourni. Puissance totale: 6.9. Facteur de puissance: 0.80. Appareillage réglable fourni: ON-OFF.",9405114090,"Polycarbonate + ABS, Polycarbonate","Gris, Semi-transparent",,220,220,55,"1xLED 6.5 644.00 lm",Oui,F,12,"Descatalogado FR",2018,"0,83","9,96","0,63","0,004","0,048",230,65,230,,,,,,,480,215,485,,,,,,,"6,9","644,00",419,3000K,80,"ULTRA HORIZONTAL",ON-OFF,IP66,IK10,https://files.ledsc4.com/main-photo/15-9778-34-CL,https://files.ledsc4.com/ambience-photo/1/15-9778-34-CL,,,https://files.ledsc4.com/detail-photo/1/15-9778-34-CL,https://files.ledsc4.com/detail-photo/2/15-9778-34-CL,https://files.ledsc4.com/imc/15-9778-34-CL.html,https://files.ledsc4.com/el/15-9778-34-CL.html,,https://files.ledsc4.com/pl/15-9778-34-CL.html,,https://files.ledsc4.com/3d/15-9778-34-CL.html,,,,,FX-LED-II,,,,"Kössel Ceiling 220mm"
55-9663-CA-CM,V0,Non,"Encastrés de sol",8435381438760,"Gea Power LED Round  ø130mm",Outdoor,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/55-9663-CA-CM.html,"ENCASTRÉS DE SOL IP65-IP67 GEA POWER LED ROUND  Ø130MM LED 8.9W 4000K ON-OFF A","LedsC4 Gea Power LED Round  ø130mm 55-9663-CA-CM  Encastrés de sol à usage extérieur pour éclairer vers le haut.  Comprend 2 sorties de câble pour faciliter l&#039;installation en chaîne. Source lumineuse orientable. Matière de la structure: Acier inoxydable AISI 316, Aluminium. Finition structure: Acier inox AISI 316. Matière du diffuseur: Verre. Finition diffuseur: Transparent. Protection contre les rayons ultraviolets. Garantie: 2 Ans.  Poids net du produit (kg): 1.05 Largeur ou diamètre du produit (mm): 125 Sortie du produit (mm): 90  Classe 1. Essai au fil incandescent: 850. IP: IP65-IP67. IK: IK10. LED. Nombre de douilles ou LED: 1. Marque de la LED: LUMILEDS. Puissance maximale de la source lumineuse: 6W. Température de couleur: 4000K. Indice de rendu des couleurs: 80. Steps Mac Adam: 3. Durée de vie en heures: 50.000h L80B20. Facteur UGR:  13.1. Risque photobiologique: RG1. Flux réel (lm): 460. Flux nominal (lm): 549. Lm/W réels: 52. Plage de tension/fréquence: 100-240/50-60Hz. Tension: 3. Appareillage fourni: Oui. Appareillage multitension fourni. Puissance totale: 8.9. Facteur de puissance: 0.50. Appareillage réglable fourni: ON-OFF.",9405423990,"Acier inoxydable AISI 316, Aluminium, Verre","Acier inox AISI 316, Transparent",,125,,90,"1xLED 6 549 lm",Oui,F,4,"Descatalogado FR",2018,"1,2","4,8","1,05","0,003","0,012",140,140,115,,,,,,,300,160,260,,,,,,,"8,9",549,460,4000K,80,MEDIUM,ON-OFF,IP65-IP67,IK10,https://files.ledsc4.com/main-photo/55-9663-CA-CM,,,,,,https://files.ledsc4.com/imc/55-9663-CA-CM.html,https://files.ledsc4.com/el/55-9663-CA-CM.html,,https://files.ledsc4.com/pl/55-9663-CA-CM.html,https://files.ledsc4.com/ft3/fr/55-9663-CA-CM.html,https://files.ledsc4.com/3d/55-9663-CA-CM.html,,,,,FX-LED-I,,,,"Gea Compact Uplight Round 130mm"
55-9667-CA-CM,V0,Non,"Encastrés de sol",8435381438272,"Gea Power LED Round  ø180mm",Outdoor,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/55-9667-CA-CM.html,"ENCASTRÉS DE SOL IP65-IP67 GEA POWER LED ROUND  Ø180MM LED 22W 4000K ON-OFF AC","LedsC4 Gea Power LED Round  ø180mm 55-9667-CA-CM  Encastrés de sol à usage extérieur pour éclairer vers le haut.  Comprend 2 sorties de câble pour faciliter l&#039;installation en chaîne. Source lumineuse orientable. Matière de la structure: Acier inoxydable AISI 316, Aluminium. Finition structure: Acier inox AISI 316. Matière du diffuseur: Verre. Finition diffuseur: Transparent. Protection contre les rayons ultraviolets. Garantie: 2 Ans.  Poids net du produit (kg): 2.09 Largeur ou diamètre du produit (mm): 184 Sortie du produit (mm): 92  Classe 1. Essai au fil incandescent: 850. IP: IP65-IP67. IK: IK10. LED. Nombre de douilles ou LED: 1. Marque de la LED: LUMILEDS. Puissance maximale de la source lumineuse: 18W. Température de couleur: 4000K. Indice de rendu des couleurs: 80. Steps Mac Adam: 3. Durée de vie en heures: 50.000h L80B20. Facteur UGR:  17.5. Risque photobiologique: RG1. Flux réel (lm): 1167. Flux nominal (lm): 1647. Lm/W réels: 53. Plage de tension/fréquence: 100-240/50-60Hz. Tension: 3. Appareillage fourni: Oui. Appareillage multitension fourni. Puissance totale: 22. Facteur de puissance: 0.90. Appareillage réglable fourni: ON-OFF.",9405423990,"Acier inoxydable AISI 316, Aluminium, Verre","Acier inox AISI 316, Transparent",,184,,92,"1xLED 18 1647 lm",Oui,F,2,"Descatalogado FR",2018,"2,5",5,"2,09","0,006","0,012",195,195,115,,,,,,,220,220,260,,,,,,,22,1647,1167,4000K,80,SPOT,ON-OFF,IP65-IP67,IK10,https://files.ledsc4.com/main-photo/55-9667-CA-CM,,,,https://files.ledsc4.com/detail-photo/1/55-9667-CA-CM,,https://files.ledsc4.com/imc/55-9667-CA-CM.html,https://files.ledsc4.com/el/55-9667-CA-CM.html,https://files.ledsc4.com/fm/55-9667-CA-CM.html,https://files.ledsc4.com/pl/55-9667-CA-CM.html,https://files.ledsc4.com/ft3/fr/55-9667-CA-CM.html,https://files.ledsc4.com/3d/55-9667-CA-CM.html,https://files.ledsc4.com/ies/55-9667-CA-CM.html,https://files.ledsc4.com/ldt/55-9667-CA-CM.html,,,FX-LED-I,,,,"Gea Compact Uplight Round 180mm"
15-A003-14-OE,V0,Oui,"Applique murale",8445386071350,Leco,Emergency,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/fr/15-A003-14-OE.html,"APPLIQUE MURALE LECO 10.5W 911LM BAT-0092 OUI NO BLANC IP44","LedsC4 Leco 15-A003-14-OE  Applique murale pour éclairer vers le bas.  Matière de la structure: Polycarbonate. Finition structure: Blanc. Matière du diffuseur: Polycarbonate. Finition diffuseur: Semi-transparent. Garantie: 2 Ans.  Poids net du produit (kg): 1.06 Largeur ou diamètre du produit (mm): 306 Hauteur du produit (mm): 69  Classe 1. Essai au fil incandescent: 960. IP: IP44. IK: IK10. LED. Nombre de douilles ou LED: 1. Puissance maximale de la source lumineuse: 8.7W. Température de couleur: 4000K. Indice de rendu des couleurs: 80. Steps Mac Adam: 3. Durée de vie en heures: 50.000h L80B20. Facteur UGR: 10.9. Risque photobiologique: RG0. % de Flickering: &lt;5%. Flux réel (lm): 911. Lm/W réels: 87. Tension: 3. Appareillage fourni: Oui. Puissance totale: 10.5. Facteur de puissance: 0.50. Appareillage réglable fourni: ON-OFF. Possibilité de fournir en urgence.",9405114090,"Polycarbonate, Polycarbonate","Blanc, Semi-transparent",,306,69,,,Oui,F,5,"Descatalogado FR",2021,"1,33","6,65","1,06","0,009","0,045",315,310,75,,,,,,,,,,,,,,,,"10,5",,911,4000K,80,HORIZONTAL,ON-OFF,IP44,IK10,https://files.ledsc4.com/main-photo/15-A003-14-OE,,,,,,https://files.ledsc4.com/imc/15-A003-14-OE.html,https://files.ledsc4.com/el/15-A003-14-OE.html,https://files.ledsc4.com/fm/15-A003-14-OE.html,,,https://files.ledsc4.com/3d/15-A003-14-OE.html,https://files.ledsc4.com/ies/15-A003-14-OE.html,https://files.ledsc4.com/ldt/15-A003-14-OE.html,,RETILAP-DECORATIVE,FX-LED-I,,,,
15-A003-14-OU,V0,Oui,"Applique murale",8445386071480,Leco,Emergency,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/fr/15-A003-14-OU.html,"APPLIQUE MURALE LECO 10W 911LM BLANC IP44","LedsC4 Leco 15-A003-14-OU  Applique murale pour éclairer vers le bas.  Matière de la structure: Polycarbonate. Finition structure: Blanc. Matière du diffuseur: Polycarbonate. Finition diffuseur: Semi-transparent. Garantie: 2 Ans.  Poids net du produit (kg): 0.86 Largeur ou diamètre du produit (mm): 306 Hauteur du produit (mm): 69  Classe 1. Essai au fil incandescent: 960. IP: IP44. IK: IK10. LED. Nombre de douilles ou LED: 1. Marque du Driver: TRIDONIC. Puissance maximale de la source lumineuse: 8.7W. Température de couleur: 4000K. Indice de rendu des couleurs: 80. Steps Mac Adam: 3. Durée de vie en heures: 50.000h L80B20. Facteur UGR: 18.1. Risque photobiologique: RG0. % de Flickering: +/- 5%. Flux réel (lm): 911. Lm/W réels: 91. Plage de tension/fréquence: 220-240/50-60Hz. Tension: 3. Appareillage fourni: Oui. Puissance totale: 10. Facteur de puissance: 0.50. Appareillage réglable fourni: ON-OFF.",9405114090,"Polycarbonate, Polycarbonate","Blanc, Semi-transparent",,306,69,,,Oui,F,5,"Descatalogado FR",2021,"1,12","5,6","0,86","0,009","0,045",315,310,75,,,,,,,,,,,,,,,,10,,911,4000K,80,HORIZONTAL,ON-OFF,IP44,IK10,https://files.ledsc4.com/main-photo/15-A003-14-OU,,,,,,https://files.ledsc4.com/imc/15-A003-14-OU.html,https://files.ledsc4.com/el/15-A003-14-OU.html,https://files.ledsc4.com/fm/15-A003-14-OU.html,,,https://files.ledsc4.com/3d/15-A003-14-OU.html,https://files.ledsc4.com/ies/15-A003-14-OU.html,https://files.ledsc4.com/ldt/15-A003-14-OU.html,,RETILAP-DECORATIVE,FX-LED-I,,,,
DE-0002-SAT,V0,Oui,"Lumière de lecture",8435575399556,Llit,Forlight,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/DE-0002-SAT.html,"LUMIÈRE DE LECTURE LLIT LED 3.3W 4000K ON-OFF NICKEL SATINÉ 296LM","LedsC4 Llit DE-0002-SAT  Lumière de lecture pour éclairer vers le bas.  Matière de la structure: Acier. Finition structure: Nickel satiné. Matière du diffuseur: PMMA. Finition diffuseur: Sablé. Garantie: 2 Ans.  Poids net du produit (kg): 0.35 Largeur ou diamètre du produit (mm): 90 Hauteur du produit (mm): 515 Sortie du produit (mm): min 30 - max 415  Classe 1. Essai au fil incandescent: 750. IP: IP20. LED. Nombre de douilles ou LED: 1. Marque de la LED: EDISON. Puissance maximale de la source lumineuse: 3.3W. Température de couleur: 4000K. Indice de rendu des couleurs: 80. Steps Mac Adam: 3. Durée de vie en heures: 36.000h L70B30. Facteur UGR: 23.1. Risque photobiologique: RG0. Flux réel (lm): 296. Flux nominal (lm): 445. Lm/W réels: 63. Plage de tension/fréquence: 100-240/50-60Hz. Tension: 3. Appareillage fourni: Oui. Appareillage multitension fourni. Puissance totale: 4.7. Facteur de puissance: 0.40. Appareillage réglable fourni: ON-OFF.",9405119090,"Acier, PMMA","Nickel satiné, Sablé",,90,515,"min 30 - max 415","1xLED 3.3 445.00 lm",Oui,E,3,"Descatalogado FR",2021,"0,5","1,5","0,35","0,003","0,009",198,65,194,,,,,,,,,,,,,,,,"4,7","445,00",296,4000K,80,SPOT+HONEYCOMB,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0002-SAT,https://files.ledsc4.com/ambience-photo/1/DE-0002-SAT,https://files.ledsc4.com/ambience-photo/2/DE-0002-SAT,,https://files.ledsc4.com/detail-photo/1/DE-0002-SAT,https://files.ledsc4.com/detail-photo/2/DE-0002-SAT,https://files.ledsc4.com/imc/DE-0002-SAT.html,https://files.ledsc4.com/el/DE-0002-SAT.html,https://files.ledsc4.com/fm/DE-0002-SAT.html,,,,https://files.ledsc4.com/ies/DE-0002-SAT.html,https://files.ledsc4.com/ldt/DE-0002-SAT.html,,RETILAP-DECORATIVE,FX-LED-I,,,,
05-8338-05-F9,V0,Non,"Salle de bains",8435629763098,"Mist Double",Decorative,"113,21",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/05-8338-05-F9.html,"SALLE DE BAINS IP44 MIST DOUBLE E14 18W NOIR 239LM","LedsC4 Mist Double 05-8338-05-F9  Salle de bains pour éclairer vers le haut.  Source lumineuse orientable. Matière de la structure: Acier. Finition structure: Noir. Matière du diffuseur: Verre. Finition diffuseur: Blanc opale. Garantie: 5 Ans.  Poids net du produit (kg): 1.37 Longueur du produit (mm): 364 Hauteur du produit (mm): 200 Sortie du produit (mm): 140  Classe 2. Essai au fil incandescent: 850. IP: IP44. Puissance totale: 18.",9405199090,"Acier, Verre","Noir, Blanc opale",364,,200,140,,Non,"NA EPREL",6,"Discontinuo FR",2021,"1,92","11,52","1,37","0,012","0,072",400,190,145,,,,,,,,,,,,,,,,18,,239,,,,,IP44,,https://files.ledsc4.com/main-photo/05-8338-05-F9,,,,,,https://files.ledsc4.com/imc/05-8338-05-F9.html,,https://files.ledsc4.com/fm/05-8338-05-F9.html,,,https://files.ledsc4.com/3d/05-8338-05-F9.html,https://files.ledsc4.com/ies/05-8338-05-F9.html,https://files.ledsc4.com/ldt/05-8338-05-F9.html,,,FX-INC-II,,,,"Mist 2 bodies"
AH17-25W8W1OU60,V0,Oui,"Encastrables au plafond",8435629714380,"Sia Standard 170 Square Trim",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/AH17-25W8W1OU60.html,"ENCASTRABLES AU PLAFOND SIA STANDARD 170 SQUARE TRIM LED 28.5W 3000K CRI 80 79.3","LedsC4 Sia Standard 170 Square Trim AH17-25W8W1OU60  Encastrables au plafond pour éclairer vers le bas.  Matière de la structure: Aluminium. Finition structure: Noir. Matière du diffuseur: Polycarbonate. Finition diffuseur: Chrome. Garantie: 2 Ans.  Poids net du produit (kg): 1.14 Longueur du produit (mm): 170 Largeur ou diamètre du produit (mm): 170 Hauteur du produit (mm): 123 Ø de l&#039;orifice pour l&#039;encastrement (mm): 150x150 Épaisseur de plafond admise: 0-16  Classe 2. Luminaire non adapté pour être recouvert de matériaux isolants. Essai au fil incandescent: 850. IP: IP54. LED. Nombre de douilles ou LED: 1. Marque de la LED: CREE. Marque du Driver: VOSSLOH-SCHWABE. Puissance maximale de la source lumineuse: 25W. Température de couleur: 3000K. Indice de rendu des couleurs: 80. Steps Mac Adam: 2. Durée de vie en heures: 50.000h L80B20. Facteur UGR: 21.5. Risque photobiologique: RG1. Flux réel (lm): 2858. Lm/W réels: 100. Plage de tension/fréquence: 100-240/50-60Hz. Tension: 35. Appareillage fourni: Oui. Puissance totale: 28.5. Facteur de puissance: 0.90. Appareillage réglable fourni: ON-OFF.",9405119090,"Aluminium, Polycarbonate","Noir, Chrome",170,170,123,,,Oui,E,1,"Descatalogado FR",2021,"1,37","1,37","1,14","0,008","0,008",220,220,175,,,,,,,,,,,,,,,,"28,5",,2858,3000K,80,FLOOD,ON-OFF,IP54,,https://files.ledsc4.com/main-photo/AH17-25W8W1OU60,,,,,,https://files.ledsc4.com/imc/AH17-25W8W1OU60.html,https://files.ledsc4.com/el/AH17-25W8W1OU60.html,https://files.ledsc4.com/fm/AH17-25W8W1OU60.html,,,https://files.ledsc4.com/3d/AH17-25W8W1OU60.html,https://files.ledsc4.com/ies/AH17-25W8W1OU60.html,https://files.ledsc4.com/ldt/AH17-25W8W1OU60.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,"Sia Standard 170 Square Trim"
AH11-12W9W1DS14,V0,Oui,"Encastrables au plafond",8435629712959,"Sia Standard 115 Round Trim",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/fr/AH11-12W9W1DS14.html,"ENCASTRABLES AU PLAFOND SIA STANDARD 115 ROUND TRIM LED 13.2W 3000K CRI 92 75.8 ","LedsC4 Sia Standard 115 Round Trim AH11-12W9W1DS14  Encastrables au plafond pour éclairer vers le bas.  Matière de la structure: Aluminium. Finition structure: Blanc. Matière du diffuseur: Polycarbonate. Finition diffuseur: Chrome. Garantie: 2 Ans.  Poids net du produit (kg): 0.7 Largeur ou diamètre du produit (mm): 115 Hauteur du produit (mm): 75 Ø de l&#039;orifice pour l&#039;encastrement (mm): 100 Épaisseur de plafond admise: 0-16  Classe 2. Luminaire non adapté pour être recouvert de matériaux isolants. Essai au fil incandescent: 850. IP: IP54. LED. Nombre de douilles ou LED: 1. Marque de la LED: CREE. Marque du Driver: VOSSLOH-SCHWABE. Puissance maximale de la source lumineuse: 12W. Température de couleur: 3000K. Indice de rendu des couleurs: 92. Steps Mac Adam: 2. Durée de vie en heures: 50.000h L80B20. Facteur UGR: 21.1. Risque photobiologique: RG1. % de Flickering: &lt;5%. Flux réel (lm): 1266. Lm/W réels: 96. Plage de tension/fréquence: 100-240/50-60Hz. Tension: 36. Appareillage fourni: Oui. Puissance totale: 13.2. Facteur de puissance: 0.80. Appareillage réglable fourni: DALI-2/PUSH.",9405119090,"Aluminium, Polycarbonate","Blanc, Chrome",,115,75,,,Oui,F,16,"Descatalogado FR",2021,"0,76","12,16","0,7","0,004","0,064",170,120,120,,,,,,,,,,,,,,,,"13,2",,1266,3000K,92,FLOOD,DALI-2/PUSH,IP54,,https://files.ledsc4.com/main-photo/AH11-12W9W1DS14,https://files.ledsc4.com/ambience-photo/1/AH11-12W9W1DS14,,,,,https://files.ledsc4.com/imc/AH11-12W9W1DS14.html,https://files.ledsc4.com/el/AH11-12W9W1DS14.html,https://files.ledsc4.com/fm/AH11-12W9W1DS14.html,,,https://files.ledsc4.com/3d/AH11-12W9W1DS14.html,https://files.ledsc4.com/ies/AH11-12W9W1DS14.html,https://files.ledsc4.com/ldt/AH11-12W9W1DS14.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,"Sia Standard 115 Round Trim"
