Riferimento,Versione,Predeterminato,Tipo,EAN13,Famiglia,Catalogo,"Tariffa Nazionale",Garanzia,"Etichetta V/F","Foglio dati",Descrizione,masterfile.tender_text,masterfile.codi_duaner,Materiale,Finit,Lungo,Ampiezza,Altezza,Proiezione,"Fonte di luce","Includi una lampadina","Efficienza energetica","Unità masterbox","Prodotto fuori catalogo","Lancio del prodotto","Pesce confezionato (kg)","Weight master box","Peso netto (Kg)","Unità di volume (m3)","Volume Master box (m3)","Length Box 1","Larghezza della scatola 1","Altezza scatola 1","Length Box 2","Larghezza della scatola 2","Altezza scatola 2","Length Box 3","Larghezza della scatola 3","Altezza scatola 3","Length MB 1","Ampiezza MB 1","Altezza MB 1","Length MB 2","Ampiezza MB 2","Altezza MB 2","Length MB 3","Ampiezza MB 3","Altezza MB 3","Watt (W)","Lumen (lm)","Real Lumens (lm)","Temperatura colore LED (K)",CRI,"Fascio di luce","Regolazione dei tipi",IP,IK,"Immagine Web","Immagine d'ambiente 1","Immagine d'ambiente 2","Immagine d'ambiente 3","Immagine di dettaglio 1","Immagine di dettaglio 2",IMC,EE,Fotometria,masterfile.ploma_comercial,Accessori,3D,masterfile.ies,masterfile.ldt,"Codi Kenya","Codi RETILAP","Marocco Codice","Codice Paese 4","Codice Paese 5","Codice Paese 6",Modello
00-8110-05-ES,V0,Sì,Sospensioni,8435575347762,"Caribe ø600",Decorative,"171,04",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/00-8110-05-ES.html,"SOSPENSIONI CARIBE Ø600 E27 15W NERO RATTAN NATURALE 722LM","LedsC4 Caribe ø600 00-8110-05-ES  Sospensioni per uso interno per illuminare verso il basso.  Materiale della struttura: Acciaio, Rattan. Finitura struttura: Nero, Rattan naturale. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 1.12 Larghezza o diametro del prodotto (mm): 600 Altezza del prodotto (mm): 1500  Classe 1. IP: IP20. Dispositivo incluso: No. Potenza totale: 15.",9405194090,"Acciaio, Rattan, Rattan","Nero, Rattan naturale",,600,1500,,,No,"NA EPREL",1,"Discontinuo IT",2020,"2,46","2,46","1,12","0,103","0,103",630,630,260,,,,,,,,,,,,,,,,15,,722,,,FLOOD,,IP20,,https://files.ledsc4.com/main-photo/00-8110-05-ES,https://files.ledsc4.com/ambience-photo/1/00-8110-05-ES,,,https://files.ledsc4.com/detail-photo/1/00-8110-05-ES,,https://files.ledsc4.com/imc/00-8110-05-ES.html,,https://files.ledsc4.com/fm/00-8110-05-ES.html,,,https://files.ledsc4.com/3d/00-8110-05-ES.html,https://files.ledsc4.com/ies/00-8110-05-ES.html,https://files.ledsc4.com/ldt/00-8110-05-ES.html,,RETILAP-DECORATIVE,FX-INC-I,,,,"Caribe ø600"
55-E074-34-CM,V0,Sì,"Sistemi lineari d'illuminazione",8445386112374,"Convert Recessed 330mm",Outdoor,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/55-E074-34-CM.html,"SISTEMI LINEARI D'ILLUMINAZIONE IP65-IP67 CONVERT RECESSED 330MM LED 15.6W 4000K","LedsC4 Convert Recessed 330mm 55-E074-34-CM  Sistemi lineari d&#039;illuminazione per uso esterno per illuminazione asimmetrica.  Include 2 uscite per cavi per una facile installazione in catena. Materiale della struttura: Alluminio. Finitura struttura: Grigio. Materiale del diffusore: Vetro. Finitura diffusore: Trasparente. Protezione contro i raggi ultravioletti. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 2.5 Lunghezza del prodotto (mm): 330 Larghezza o diametro del prodotto (mm): 106 Altezza del prodotto (mm): 123 Ø del foro per incasso (mm): 317x133  Classe 1. IP: IP65-IP67. IK: IK10. LED. Nº di portalampada o Leds: 1. Marchio del LED: NICHIA. Potenza massima della sorgente luminosa: 12.2W. Temperatura di colore: 4000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR: 12.0. Rischio fotobiologico: RG2. Flusso reale (lm): 1261. Lm/W reali: 81. Intervallo di tensione / frequenza: 100-240/50-60Hz. Voltaggio: 3. Dispositivo incluso: Sì. Potenza totale: 15.6. Fattore di potenza: 0.93. Dispositivo regolabile incluso: ON-OFF.",9405423990,"Alluminio, Vetro","Grigio, Trasparente",330,106,123,,,Sì,D,4,"Descatalogado IT",2022,"3,15","12,6","2,5","0,024","0,096",452,220,210,,,,,,,,,,,,,,,,"15,6",,1261,4000K,80,"Check Photometric file",ON-OFF,IP65-IP67,IK10,https://files.ledsc4.com/main-photo/55-E074-34-CM,,,,https://files.ledsc4.com/detail-photo/1/55-E074-34-CM,,https://files.ledsc4.com/imc/55-E074-34-CM.html,https://files.ledsc4.com/el/55-E074-34-CM.html,https://files.ledsc4.com/fm/55-E074-34-CM.html,,https://files.ledsc4.com/ft3/it/55-E074-34-CM.html,https://files.ledsc4.com/3d/55-E074-34-CM.html,https://files.ledsc4.com/ies/55-E074-34-CM.html,https://files.ledsc4.com/ldt/55-E074-34-CM.html,,RETILAP-APLIQUE,FX-LED-I,,,,"Convert Recessed 330mm"
91-7938-00-00,V0,Sì,"Strisce LED",8435575318434,"On Performance 19,2",Architectural,,2,24VDC,https://files.ledsc4.com/ft2/it/91-7938-00-00.html,"STRISCE LED ON PERFORMANCE 19,2 96W RGB-3000K IP20 4574LM","LedsC4 On Performance 19,2 91-7938-00-00  Strisce LED per uso interno  Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.14 Lunghezza del prodotto (mm): 5000 Larghezza o diametro del prodotto (mm): 10 Altezza del prodotto (mm): 2  Classe 3. IP: IP20. LED. Nº di portalampada o Leds: 1. Potenza massima della sorgente luminosa: 96W. Temperatura di colore: RGB-3000K. Ore di vita: 50.000h L80B20. UGR: 32.7. Flusso reale (lm): 4574. Lm/W reali: 48. Voltaggio: 3. Temperatura di colore: RGB-3000K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR: 32.7. Rischio fotobiologico: RG0. Flusso reale (lm): 4574. Lm/W reali: 48. Voltaggio: 3. Dispositivo incluso: No, ma gli serve. Potenza totale: 96.",9405423100,,,5000,10,2,,,Sì,"NA EPREL",100,"Descatalogado IT",2020,"0,17",17,"0,14","0,001","0,1",210,240,10,,,,,,,,,,,,,,,,96,,4574,RGB-3000K,,SPOT,,IP20,,https://files.ledsc4.com/main-photo/91-7938-00-00,,,,,,https://files.ledsc4.com/imc/91-7938-00-00.html,,https://files.ledsc4.com/fm/91-7938-00-00.html,,,https://files.ledsc4.com/3d/91-7938-00-00.html,https://files.ledsc4.com/ies/91-7938-00-00.html,https://files.ledsc4.com/ldt/91-7938-00-00.html,,"RETILAP-CINTA LED","LED STRIP-III",,,,"On Performance 19,2 RGB"
05-E152-CA-CL,V0,Sì,Proiettori,8435575319578,"Thor ø26mm",Outdoor,,2,"24-48 VDC",https://files.ledsc4.com/ft2/it/05-E152-CA-CL.html,"PROIETTORI IP66 THOR Ø26MM LED 2W 3000K ON-OFF ACCIAIO INOSSIDABILE AISI 316 16","LedsC4 Thor ø26mm 05-E152-CA-CL  Proiettori per uso esterno per illuminare verso il basso.  Metri del cavo incluso: 2. Sorgente luminosa orientabile. Materiale della struttura: Acciaio inossidabile AISI 316. Finitura struttura: Acciaio inossidabile AISI 316. Materiale del diffusore: Vetro. Finitura diffusore: Trasparente. Protezione contro i raggi ultravioletti. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.28 Lunghezza del prodotto (mm): 62 Larghezza o diametro del prodotto (mm): 30 Altezza del prodotto (mm): MAX.89  Classe 3. Prova filo incandescente: 850. IP: IP66. IK: IK02. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Potenza massima della sorgente luminosa: 2W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR: 25.9. Rischio fotobiologico: RG2. Flusso reale (lm): 169. Lm/W reali: 85. Intervallo di tensione / frequenza: 24-48. Voltaggio: 12. Dispositivo incluso: No, ma gli serve. Potenza totale: 2. Dispositivo regolabile incluso: ON-OFF.",9405421000,"Acciaio inossidabile AISI 316, Vetro","Acciaio inossidabile AISI 316, Trasparente",62,30,MAX.89,,,Sì,E,50,"Descatalogado IT",2020,"0,33","16,5","0,28","0,001","0,05",130,80,60,,,,,,,,,,,,,,,,2,,169,3000K,80,"MEDIUM, 36º",ON-OFF,IP66,IK02,https://files.ledsc4.com/main-photo/05-E152-CA-CL,,,,,,https://files.ledsc4.com/imc/05-E152-CA-CL.html,https://files.ledsc4.com/el/05-E152-CA-CL.html,https://files.ledsc4.com/fm/05-E152-CA-CL.html,,https://files.ledsc4.com/ft3/it/05-E152-CA-CL.html,https://files.ledsc4.com/3d/05-E152-CA-CL.html,https://files.ledsc4.com/ies/05-E152-CA-CL.html,https://files.ledsc4.com/ldt/05-E152-CA-CL.html,,RETILAP-APLIQUE,FX-LED-II,,,,"Thor ø26"
PX-0517-CEM,V0,Sì,"Superficie a parete",8435575318991,Grow,Forlight,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/PX-0517-CEM.html,"SUPERFICIE A PARETE IP65 GROW G9 6W CEMENTO","LedsC4 Grow PX-0517-CEM  Superficie a parete per uso esterno per illuminare verso l&#039;alto e verso il basso  Materiale della struttura: Cemento. Finitura struttura: Cemento. Materiale del diffusore: Policarbonato. Finitura diffusore: Sfumato. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 1.73 Larghezza o diametro del prodotto (mm): 155 Altezza del prodotto (mm): 80 Fuoriuscita del prodotto: 160  Classe 2. IP: IP65. Potenza totale: 6.",9405199090,"Cemento, Policarbonato","Cemento, Sfumato",,155,80,160,,No,"NA EPREL",2,"Descatalogado IT",2020,"2,3","4,6","1,73","0,015","0,03",255,255,185,,,,,,,,,,,,,,,,6,,,,,,,IP65,,https://files.ledsc4.com/main-photo/PX-0517-CEM,https://files.ledsc4.com/ambience-photo/1/PX-0517-CEM,,,https://files.ledsc4.com/detail-photo/1/PX-0517-CEM,https://files.ledsc4.com/detail-photo/2/PX-0517-CEM,https://files.ledsc4.com/imc/PX-0517-CEM.html,,,,,,,,,RETILAP-APLIQUE,FX-INC-II,,,,
91-7937-00-00L,V0,Sì,"Strisce LED",8435575320987,"On Performance 19,2 Custom Size",Architectural,,3,24VDC,https://files.ledsc4.com/ft2/it/91-7937-00-00L.html,"STRISCE LED ON PERFORMANCE 19,2 CUSTOM SIZE 960W RGB IP20 31920LM","LedsC4 On Performance 19,2 Custom Size 91-7937-00-00L  Strisce LED per uso interno  Materiale della struttura: Alluminio. Garanzia: 3 Anni.  Peso netto del prodotto (Kg): 0.14 Lunghezza del prodotto (mm): 50000  Classe 3. IP: IP20. LED. Nº di portalampada o Leds: 1. Potenza massima della sorgente luminosa: 720W. Temperatura di colore: RGB. Ore di vita: 50.000h L80B20. UGR: 39.3. Flusso reale (lm): 31920. Lm/W reali: 33. Voltaggio: 3. Dispositivo incluso: No, ma gli serve. Potenza totale: 960.",9405423100,Alluminio,,50000,,,,,Sì,"NA EPREL",1000,"Descatalogado IT",2020,"0,17",170,"0,14","0,001",1,210,240,10,,,,,,,,,,,,,,,,960,,31920,RGB,,SPOT,,IP20,,https://files.ledsc4.com/main-photo/91-7937-00-00L,,,,,,https://files.ledsc4.com/imc/91-7937-00-00L.html,,https://files.ledsc4.com/fm/91-7937-00-00L.html,,,,https://files.ledsc4.com/ies/91-7937-00-00L.html,https://files.ledsc4.com/ldt/91-7937-00-00L.html,,"RETILAP-CINTA LED","LED STRIP-III",,,,"On Performance 19,2 RGB"
91-7942-00-00L,V0,Sì,"Strisce LED",8435575320888,"On Advanced CRI98 Custom Size",Architectural,,3,24VDC,https://files.ledsc4.com/ft2/it/91-7942-00-00L.html,"STRISCE LED ON ADVANCED CRI98 CUSTOM SIZE 745W 2700K CRI 98 IP20 74600LM","LedsC4 On Advanced CRI98 Custom Size 91-7942-00-00L  Strisce LED per uso interno  Materiale della struttura: Alluminio. Garanzia: 3 Anni.  Peso netto del prodotto (Kg): 0.99 Lunghezza del prodotto (mm): 50000  Classe 3. IP: IP20. LED. Nº di portalampada o Leds: 1. Potenza massima della sorgente luminosa: 745W. Temperatura di colore: 2700K. Indice di riproduzione cromatica: 98. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR: 39.6. Rischio fotobiologico: RG0. Flusso reale (lm): 74600. Lm/W reali: 100. Voltaggio: 3. Dispositivo incluso: No, ma gli serve. Potenza totale: 745.",9405423100,Alluminio,,50000,,,,,Sì,E,1000,"Descatalogado IT",2020,"0,99",990,"0,99","0,003",3,425,470,10,,,,,,,,,,,,,,,,745,,74600,2700K,98,SPOT,,IP20,,https://files.ledsc4.com/main-photo/91-7942-00-00L,,,,,,https://files.ledsc4.com/imc/91-7942-00-00L.html,https://files.ledsc4.com/el/91-7942-00-00L.html,https://files.ledsc4.com/fm/91-7942-00-00L.html,,,,https://files.ledsc4.com/ies/91-7942-00-00L.html,https://files.ledsc4.com/ldt/91-7942-00-00L.html,,"RETILAP-CINTA LED","LED STRIP-III",,,,"On Advanced CRI98 Custom Size"
91-7946-00-00L,V0,Sì,"Strisce LED",8435575320840,"On Advanced Thin 4mm Custom Size",Architectural,,3,24VDC,https://files.ledsc4.com/ft2/it/91-7946-00-00L.html,"STRISCE LED ON ADVANCED THIN 4MM CUSTOM SIZE 192W 2700K CRI 92 IP20 12820LM","LedsC4 On Advanced Thin 4mm Custom Size 91-7946-00-00L  Strisce LED per uso interno  Materiale della struttura: Alluminio. Garanzia: 3 Anni.  Peso netto del prodotto (Kg): 0.25 Lunghezza del prodotto (mm): 20000  Classe 3. IP: IP20. LED. Nº di portalampada o Leds: 1. Potenza massima della sorgente luminosa: 192W. Temperatura di colore: 2700K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. Rischio fotobiologico: RG0. Flusso reale (lm): 12820. Lm/W reali: 67. Voltaggio: 3. Dispositivo incluso: No, ma gli serve. Potenza totale: 192.",9405423100,Alluminio,,20000,,,,,Sì,G,800,"Descatalogado IT",2020,"0,25",200,"0,25","0,001","0,8",323,345,10,,,,,,,,,,,,,,,,192,,12820,2700K,92,HORIZONTAL,,IP20,,https://files.ledsc4.com/main-photo/91-7946-00-00L,,,,,,https://files.ledsc4.com/imc/91-7946-00-00L.html,https://files.ledsc4.com/el/91-7946-00-00L.html,,,,,,,,"RETILAP-CINTA LED","LED STRIP-III",,,,"On Advanced Thin 4mm Custom Size"
91-7948-00-00L,V0,Sì,"Strisce LED",8435575320819,"On Advanced High Density 240 LED/MT Custom Size",Architectural,,3,24VDC,https://files.ledsc4.com/ft2/it/91-7948-00-00L.html,"STRISCE LED ON ADVANCED HIGH DENSITY 240 LED/MT CUSTOM SIZE 720W 2700K CRI 92 IP","LedsC4 On Advanced High Density 240 LED/MT Custom Size 91-7948-00-00L  Strisce LED per uso interno  Materiale della struttura: Alluminio. Garanzia: 3 Anni.  Peso netto del prodotto (Kg): 0.92 Lunghezza del prodotto (mm): 50000  Classe 3. IP: IP20. LED. Nº di portalampada o Leds: 1. Potenza massima della sorgente luminosa: 720W. Temperatura di colore: 2700K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. Rischio fotobiologico: RG0. Flusso reale (lm): 46510. Lm/W reali: 65. Voltaggio: 3. Dispositivo incluso: No, ma gli serve. Potenza totale: 720.",9405423100,Alluminio,,50000,,,,,Sì,G,1000,"Descatalogado IT",2020,"0,92",920,"0,92","0,002",2,425,470,10,,,,,,,,,,,,,,,,720,,46510,2700K,92,HORIZONTAL,,IP20,,https://files.ledsc4.com/main-photo/91-7948-00-00L,,,,,,https://files.ledsc4.com/imc/91-7948-00-00L.html,https://files.ledsc4.com/el/91-7948-00-00L.html,,,,,,,,"RETILAP-CINTA LED","LED STRIP-III",,,,"On Advanced High Density 240 LED/MT Custom Size"
91-7950-00-00L,V0,Sì,"Strisce LED",8435575320789,"On Advanced Double LED Custom Size",Architectural,,3,24VDC,https://files.ledsc4.com/ft2/it/91-7950-00-00L.html,"STRISCE LED ON ADVANCED DOUBLE LED CUSTOM SIZE 960W 2700K CRI 92 IP20 73850LM","LedsC4 On Advanced Double LED Custom Size 91-7950-00-00L  Strisce LED per uso interno  Materiale della struttura: Alluminio. Garanzia: 3 Anni.  Peso netto del prodotto (Kg): 1.5 Lunghezza del prodotto (mm): 50000  Classe 3. IP: IP20. LED. Nº di portalampada o Leds: 1. Potenza massima della sorgente luminosa: 960W. Temperatura di colore: 2700K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. Rischio fotobiologico: RG0. Flusso reale (lm): 73850. Lm/W reali: 77. Voltaggio: 3. Dispositivo incluso: No, ma gli serve. Potenza totale: 960.",9405423100,Alluminio,,50000,,,,,Sì,F,600,"Descatalogado IT",2020,"1,5",900,"1,5","0,002","1,2",425,470,10,,,,,,,,,,,,,,,,960,,73850,2700K,92,HORIZONTAL,,IP20,,https://files.ledsc4.com/main-photo/91-7950-00-00L,,,,,,https://files.ledsc4.com/imc/91-7950-00-00L.html,https://files.ledsc4.com/el/91-7950-00-00L.html,,,,,,,,"RETILAP-CINTA LED","LED STRIP-III",,,,"On Advanced Double LED Custom Size"
AG57-13W9F1BB14,V0,No,"Incassi a soffitto",8435575343368,"Play Snoot Round Adjustable Trimless",Architectural,,2,"36VDC/ max.350mA",https://files.ledsc4.com/ft2/it/AG57-13W9F1BB14.html,"INCASSI A SOFFITTO PLAY SNOOT ROUND ADJUSTABLE TRIMLESS LED 11.9W 3000K CRI 92 4","LedsC4 Play Snoot Round Adjustable Trimless AG57-13W9F1BB14  Incassi a soffitto per uso interno per illuminare verso il basso.  Sorgente luminosa orientabile. Materiale della struttura: Alluminio. Finitura struttura: Bianco. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.25 Larghezza o diametro del prodotto (mm): 115 Altezza del prodotto (mm): 115 Ø del foro per incasso (mm): 87 Spessore del soffitto ammesso: 0-18  Classe 3. Luminaria non adatta per essere rivestita con materiali isolanti. Prova filo incandescente: 850. IP: IP54. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Potenza massima della sorgente luminosa: 11.9W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 2. Ore di vita: 50.000h L80B20. UGR: 17.6. Rischio fotobiologico: RG1. Flusso reale (lm): 1250. Lm/W reali: 105. Voltaggio: 36. Dispositivo incluso: No, ma gli serve. Potenza totale: 11.9.",9405119090,Alluminio,Bianco,,115,115,,,Sì,F,16,"Descatalogado IT",2020,"0,4","6,4","0,25","0,004","0,064",220,110,150,,,,,,,,,,,,,,,,"11,9",,1250,3000K,92,FLOOD,,IP54,,https://files.ledsc4.com/main-photo/AG57-13W9F1BB14,,,,,,https://files.ledsc4.com/imc/AG57-13W9F1BB14.html,https://files.ledsc4.com/el/AG57-13W9F1BB14.html,https://files.ledsc4.com/fm/AG57-13W9F1BB14.html,,,https://files.ledsc4.com/3d/AG57-13W9F1BB14.html,https://files.ledsc4.com/ies/AG57-13W9F1BB14.html,https://files.ledsc4.com/ldt/AG57-13W9F1BB14.html,,,DW-LED-III,,,,"Play Snoot Round Adjustable Trimless"
AG45-AAG1NABU14,V0,No,"Incassi a soffitto",8435575345300,"Play Pinhole Round Fixed",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/AG45-AAG1NABU14.html,"INCASSI A SOFFITTO PLAY PINHOLE ROUND FIXED GU10 8W BIANCO IP54","LedsC4 Play Pinhole Round Fixed AG45-AAG1NABU14  Incassi a soffitto per uso interno per illuminare verso il basso.  Materiale della struttura: Alluminio. Finitura struttura: Bianco. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.15 Larghezza o diametro del prodotto (mm): 88 Ø del foro per incasso (mm): 75 Spessore del soffitto ammesso: 0-18  Classe 2. Luminaria non adatta per essere rivestita con materiali isolanti. Prova filo incandescente: 850. IP: IP54. Dispositivo incluso: No, ma gli serve. Potenza totale: 8.",9405119090,Alluminio,Bianco,,88,,,,No,"NA EPREL",18,"Descatalogado IT",2020,"0,25","4,5","0,15","0,002","0,036",105,120,120,,,,,,,,,,,,,,,,8,,,,,,,IP54,,https://files.ledsc4.com/main-photo/AG45-AAG1NABU14,,,,,,https://files.ledsc4.com/imc/AG45-AAG1NABU14.html,,,,,https://files.ledsc4.com/3d/AG45-AAG1NABU14.html,,,,,FX-INC-II,,,,"Play Pinhole Round Fixed"
90-A112-14-00,V0,Sì,"Incassi a soffitto",8445386418827,"Bento Wall Washer 3 LEDS Trim",Architectural,"70,05",5,9VDC/max.350mA,https://files.ledsc4.com/ft2/it/90-A112-14-00.html,"INCASSI A SOFFITTO BENTO WALL WASHER 3 LEDS TRIM LED 3W 2700K CRI 92 BIANCO IN I","LedsC4 Bento Wall Washer 3 LEDS Trim 90-A112-14-00  Incassi a soffitto  Materiale della struttura: Alluminio. Finitura struttura: Bianco. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 0.11 Lunghezza del prodotto (mm): 86 Larghezza o diametro del prodotto (mm): 39 Altezza del prodotto (mm): 49 Ø del foro per incasso (mm): 28x76 Spessore del soffitto ammesso: 0-25  Classe 3. Prova filo incandescente: 850. IP: IN IP20 / OUT IP54. LED. Nº di portalampada o Leds: 1. Marchio del LED: SAMSUNG. Potenza massima della sorgente luminosa: 3W. Temperatura di colore: 2700K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. Rischio fotobiologico: RG2. Flusso reale (lm): 224. Lm/W reali: 75. Voltaggio: 3. Dispositivo incluso: No, ma gli serve. Potenza totale: 3.",9405119090,Alluminio,Bianco,86,39,49,,,Sì,E,50,"Discontinuo IT",2021,"0,14",7,"0,11","0,001","0,05",90,80,60,,,,,,,,,,,,,,,,3,,224,2700K,92,,,"IN IP20 / OUT IP54",,https://files.ledsc4.com/main-photo/90-A112-14-00,,,,https://files.ledsc4.com/detail-photo/1/90-A112-14-00,,https://files.ledsc4.com/imc/90-A112-14-00.html,https://files.ledsc4.com/el/90-A112-14-00.html,https://files.ledsc4.com/fm/90-A112-14-00.html,,,https://files.ledsc4.com/3d/90-A112-14-00.html,https://files.ledsc4.com/ies/90-A112-14-00.html,https://files.ledsc4.com/ldt/90-A112-14-00.html,,RETILAP-DOWNLIGHT,DW-LED-III,,,,"Bento Wall Washer 3 LEDS Trim"
90-A116-60-00,V0,Sì,"Incassi a soffitto",8445386418919,"Bento Wall Washer 3 LEDS Trimless",Architectural,"80,59",5,9VDC/max.350mA,https://files.ledsc4.com/ft2/it/90-A116-60-00.html,"INCASSI A SOFFITTO BENTO WALL WASHER 3 LEDS TRIMLESS LED 3W 3000K CRI 92 NERO IN","LedsC4 Bento Wall Washer 3 LEDS Trimless 90-A116-60-00  Incassi a soffitto  Materiale della struttura: Alluminio. Finitura struttura: Nero. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 0.19 Lunghezza del prodotto (mm): 115 Larghezza o diametro del prodotto (mm): 28 Altezza del prodotto (mm): 58 Ø del foro per incasso (mm): 28x75 Spessore del soffitto ammesso: 0-25  Classe 3. Prova filo incandescente: 850. IP: IN IP20 / OUT IP54. LED. Nº di portalampada o Leds: 1. Marchio del LED: SAMSUNG. Potenza massima della sorgente luminosa: 3W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. Rischio fotobiologico: RG2. Flusso reale (lm): 253. Lm/W reali: 84. Voltaggio: 3. Dispositivo incluso: No, ma gli serve. Potenza totale: 3.",9405119090,Alluminio,Nero,115,28,58,,,Sì,E,100,"Discontinuo IT",2021,"0,23",23,"0,19","0,001","0,1",120,85,35,,,,,,,,,,,,,,,,3,,253,3000K,92,,,"IN IP20 / OUT IP54",,https://files.ledsc4.com/main-photo/90-A116-60-00,,,,,,https://files.ledsc4.com/imc/90-A116-60-00.html,https://files.ledsc4.com/el/90-A116-60-00.html,https://files.ledsc4.com/fm/90-A116-60-00.html,,,https://files.ledsc4.com/3d/90-A116-60-00.html,https://files.ledsc4.com/ies/90-A116-60-00.html,https://files.ledsc4.com/ldt/90-A116-60-00.html,,RETILAP-DOWNLIGHT,DW-LED-III,,,,"Bento Wall Washer 3 LEDS Trimless"
AG39-P2V8S1BB14,V0,No,"Incassi a soffitto",8435575324893,"Play Flat Mini Square Adjustable",Architectural,,2,"3VDC/ max.500mA",https://files.ledsc4.com/ft2/it/AG39-P2V8S1BB14.html,"INCASSI A SOFFITTO PLAY FLAT MINI SQUARE ADJUSTABLE LED 1.5W 2700K CRI 80 7.1º ","LedsC4 Play Flat Mini Square Adjustable AG39-P2V8S1BB14  Incassi a soffitto per uso interno per illuminare verso il basso.  Sorgente luminosa orientabile. Materiale della struttura: Alluminio. Finitura struttura: Bianco. Materiale del diffusore: PMMA. Finitura diffusore: Trasparente. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.06 Lunghezza del prodotto (mm): 52 Larghezza o diametro del prodotto (mm): 52 Altezza del prodotto (mm): 41 Ø del foro per incasso (mm): 42 Spessore del soffitto ammesso: 0-13  Classe 3. Luminaria non adatta per essere rivestita con materiali isolanti. IP: IP54. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Potenza massima della sorgente luminosa: 1.5W. Temperatura di colore: 2700K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR: 16.7. Rischio fotobiologico: RG2. Flusso reale (lm): 116. Lm/W reali: 77. Voltaggio: 3. Dispositivo incluso: No, ma gli serve. Potenza totale: 1.5.",9405119090,"Alluminio, PMMA","Bianco, Trasparente",52,52,41,,,Sì,G,16,"Descatalogado IT",2020,"0,13","2,08","0,06","0,001","0,016",145,110,80,,,,,,,,,,,,,,,,"1,5",,116,2700K,80,NARROW,,IP54,,https://files.ledsc4.com/main-photo/AG39-P2V8S1BB14,,,,,,https://files.ledsc4.com/imc/AG39-P2V8S1BB14.html,https://files.ledsc4.com/el/AG39-P2V8S1BB14.html,https://files.ledsc4.com/fm/AG39-P2V8S1BB14.html,,https://files.ledsc4.com/ft3/it/AG39-P2V8S1BB14.html,https://files.ledsc4.com/3d/AG39-P2V8S1BB14.html,https://files.ledsc4.com/ies/AG39-P2V8S1BB14.html,https://files.ledsc4.com/ldt/AG39-P2V8S1BB14.html,,,DW-LED-III,,,,"Play Flat Mini Square Adjustable"
